RegionName,StateName,Median Rent
"Moses Lake, WA",WA,"$1,503"
"Oak Harbor, WA",WA,"$1,971"
"Centralia, WA",WA,"$1,494"
"Port Angeles, WA",WA,"$1,819"
"Aberdeen, WA",WA,"$1,431"
"Shelton, WA",WA,"$2,007"
"Walla Walla, WA",WA,"$1,500"
"Pullman, WA",WA,"$1,487"
"Ellensburg, WA",WA,"$1,654"
"Milwaukee, WI",WI,"$1,433"
"Madison, WI",WI,"$1,632"
"Green Bay, WI",WI,"$1,041"
"Appleton, WI",WI,"$1,209"
"Racine, WI",WI,"$1,346"
"Oshkosh, WI",WI,"$1,100"
"Eau Claire, WI",WI,"$1,155"
"Wausau, WI",WI,$943
"Janesville, WI",WI,"$1,151"
"La Crosse, WI",WI,"$1,183"
"Sheboygan, WI",WI,"$1,020"
"Whitewater, WI",WI,"$1,396"
"Fond du Lac, WI",WI,$999
"Beaver Dam, WI",WI,"$1,147"
"Watertown, WI",WI,"$1,197"
"Manitowoc, WI",WI,$981
"Wisconsin Rapids, WI",WI,$887
"Stevens Point, WI",WI,"$1,184"
"Baraboo, WI",WI,"$1,122"
"Platteville, WI",WI,"$1,000"
"Menomonie, WI",WI,"$1,150"
"Charleston, WV",WV,"$1,065"
"Morgantown, WV",WV,"$1,429"
"Beckley, WV",WV,"$1,080"
"Clarksburg, WV",WV,"$1,037"
"Parkersburg, WV",WV,$967
"Fairmont, WV",WV,$987
"Cheyenne, WY",WY,"$1,455"
"Casper, WY",WY,"$1,215"
"Gillette, WY",WY,"$1,316"
"Rock Springs, WY",WY,"$1,119"
"Riverton, WY",WY,"$1,025"
"Laramie, WY",WY,"$1,194"
"Jackson, WY",WY,"$4,505"
"Sheridan, WY",WY,"$1,608"
